,id,date,user,pc,filename,activity,to_removable_media,from_removable_media,content
,{F3E2-X3MV05YQ-3516SZDT},1/2/2010 7:19,SDH2394,PC-5849,R:\60WBQE7S.doc,File Open,FALSE,TRUE,"D0-CF-11-E0-A1-B1-1A-E1 Ernesztin's brother, L..."
,{I6N1-Z7VL92UY-8715ESKQ},1/2/2010 7:21,SDH2394,PC-5849,R:\0VGILDW8.pdf,File Write,TRUE,FALSE,25-50-44-46-2D ---- Bengali As do many other T...
,{G4X5-J7MH70FV-8936QVSB},1/2/2010 7:22,SDH2394,PC-5849,R:\60WBQE7S.doc,File Copy,FALSE,TRUE,"D0-CF-11-E0-A1-B1-1A-E1 Ernesztin's brother, L..."
,{M2M7-Z5ST21EU-6704NSKO},1/2/2010 7:24,SDH2394,PC-5849,R:\22B5gX4\H8Y96RRE.doc,File Write,TRUE,FALSE,D0-CF-11-E0-A1-B1-1A-E1 After the death of his...
,{R0A9-O9XB25PE-9236MALV},1/2/2010 7:24,SDH2394,PC-5849,R:\SDH2394\7XRCV2N5.pdf,File Copy,TRUE,FALSE,25-50-44-46-2D Although he restored some of th...
,{T1C9-A7BW31ZW-0408TSMQ},1/2/2010 7:25,SDH2394,PC-5849,R:\60WBQE7S.doc,File Copy,FALSE,TRUE,"D0-CF-11-E0-A1-B1-1A-E1 Ernesztin's brother, L..."
,{Y0N7-E6EJ23LX-3486GHCH},1/2/2010 7:26,SDH2394,PC-5849,R:\60WBQE7S.doc,File Write,TRUE,FALSE,D0-CF-11-E0-A1-B1-1A-E1 Kertesz said this was ...
,{D5J4-S3AZ71KE-8915PYTL},1/2/2010 7:27,SDH2394,PC-5849,R:\60WBQE7S.doc,File Delete,FALSE,TRUE,D0-CF-11-E0-A1-B1-1A-E1 Kertesz said this was ...
,{U4B5-M9PO56AC-1319NFVD},1/2/2010 7:27,SDH2394,PC-5849,R:\22B5gX4\R6SQWEDC.jpg,File Open,FALSE,TRUE,FF-D8
,{Z4Z8-G2VU05EV-8184SUQX},1/2/2010 7:27,SDH2394,PC-5849,R:\22B5gX4\FX123ETW.txt,File Copy,TRUE,FALSE,"58-56-36-46 However, the administrative change..."
,{N5L4-D0WZ38MB-3524AOOO},1/2/2010 7:30,SDH2394,PC-5849,R:\22B5gX4\E0P2SLZG.doc,File Write,TRUE,FALSE,"D0-CF-11-E0-A1-B1-1A-E1 Later in 1963, his wor..."
,{L4H7-H3WN46LI-1986WCZD},1/2/2010 7:32,ABM3641,PC-7385,C:\77h89S6\DQSH4LBO.doc,File Open,FALSE,FALSE,D0-CF-11-E0-A1-B1-1A-E1 Several species of fli...
,{F2M7-G0SD50VC-2902NMWZ},1/2/2010 7:33,JKS2444,PC-6961,R:\MO7ZKB5B.doc,File Delete,FALSE,TRUE,D0-CF-11-E0-A1-B1-1A-E1 Montagnea arenaria is ...
,{F7Z8-Q7HU31UR-8913ZGQD},1/2/2010 7:35,SDH2394,PC-5849,R:\22B5gX4\H8Y96RRE.doc,File Write,TRUE,FALSE,D0-CF-11-E0-A1-B1-1A-E1 Even this did not end ...
,{T2S3-M5RM82YC-3536SHXL},1/2/2010 7:36,SDH2394,PC-5849,R:\SDH2394\FX123ETW.txt,File Copy,TRUE,FALSE,"4F-42-54-56 He was already a receiver, or audi..."
,{A0R9-N1NA15QH-0076WSNV},1/2/2010 7:40,AXW3243,PC-4929,C:\NTFU9CKZ.doc,File Open,FALSE,FALSE,D0-CF-11-E0-A1-B1-1A-E1 Bill Williams took ove...
,{P8F5-Z4EH54KL-8983NMTL},1/2/2010 7:41,ROR3483,PC-4365,R:\177Qcm8\1HZCKRL6.doc,File Open,FALSE,TRUE,D0-CF-11-E0-A1-B1-1A-E1 A curious aspect of th...
,{Z7O0-H6HE55NE-8852YFYW},1/2/2010 7:44,DJA0740,PC-7197,R:\AGIPAR8P.pdf,File Delete,FALSE,TRUE,25-50-44-46-2D Public opinion turned firmly ag...
,{G1G1-X3AS32ZM-1610LMMR},1/2/2010 7:44,ROR3483,PC-4365,R:\ROR3483\W8Q4VPGC.doc,File Copy,FALSE,TRUE,D0-CF-11-E0-A1-B1-1A-E1 Sir Howard Colvin said...
,{F5E7-J8UL67UV-3017QSFO},1/2/2010 7:44,DJA0740,PC-7197,R:\36tgdN0\UNPCKDTO.doc,File Delete,FALSE,TRUE,D0-CF-11-E0-A1-B1-1A-E1 One core theme of Lad:...
,{B5B8-F0OX23EE-1073SEHR},1/2/2010 7:46,DJA0740,PC-7197,R:\5FQUGKSO.jpg,File Open,FALSE,TRUE,FF-D8
,{Z7N0-J9MJ93QP-9340VSRD},1/2/2010 7:46,HID1899,PC-2433,C:\386lN89\F868J5R7.pdf,File Open,FALSE,FALSE,25-50-44-46-2D The bay is often filled with pl...
,{D0C6-L1PQ54GH-5841ZEZJ},1/2/2010 7:46,DJA0740,PC-7197,C:\AS31ZQDZ.doc,File Open,FALSE,FALSE,D0-CF-11-E0-A1-B1-1A-E1 Delegates were only el...
,{F5C9-S5RI12RI-2625PKXZ},1/2/2010 7:47,DJA0740,PC-7197,R:\M96MARXE.doc,File Copy,FALSE,TRUE,D0-CF-11-E0-A1-B1-1A-E1 The route then passes ...
,{G6V4-X4OO50BW-3929DZJE},1/2/2010 7:48,ANC1950,PC-4921,R:\26v1D25\DK7Y5BP6.doc,File Open,FALSE,TRUE,D0-CF-11-E0-A1-B1-1A-E1 Much as Sir Phillip pa...
,{V8D4-P5YV83AT-7619XAGB},1/2/2010 7:48,ANC1950,PC-4921,C:\ANC1950\AIG3BQT7.pdf,File Open,FALSE,FALSE,25-50-44-46-2D The show retained a similar tim...
,{H6J5-B3VY32EX-1854FXEL},1/2/2010 7:48,SRB2276,PC-5164,R:\SRB2276\1IDL738G.doc,File Open,FALSE,TRUE,D0-CF-11-E0-A1-B1-1A-E1 Ethan Allen and his me...
,{H6J3-G9MS37AS-5194HLHH},1/2/2010 7:48,ANC1950,PC-4921,R:\53tdGl0\WRB6GQ5E.doc,File Copy,FALSE,TRUE,D0-CF-11-E0-A1-B1-1A-E1 Krafft-Ebing believed ...
,{F2T4-P1RE38CW-7275JXNV},1/2/2010 7:49,SRB2276,PC-5164,R:\SRB2276\F77TWLZW.doc,File Delete,FALSE,TRUE,"D0-CF-11-E0-A1-B1-1A-E1 The Bijapur Sultanate,..."
,{D1H1-Y0FG77FW-4804WHXJ},1/2/2010 7:49,ANC1950,PC-4921,R:\53tdGl0\T8EHA7HS.doc,File Write,TRUE,FALSE,D0-CF-11-E0-A1-B1-1A-E1 Hall 
